FECHA,TC_INTERBANCARIO_COMPRA,TC_INTERBANCARIO_VENTA,TC_SBS_COMPRA,TC_SBS_VENTA,AÑO
2024-04-12,3.70033333333333,3.70283333333333,3.698,3.707,2024
2024-04-15,3.72366666666667,3.72583333333333,3.711,3.725,2024
2024-04-16,3.75333333333333,3.75616666666667,3.747,3.755,2024
2024-04-17,3.74266666666667,3.7445,3.738,3.749,2024
2024-04-18,3.73483333333333,3.7375,3.735,3.744,2024
